"prevalence","meanMOIvar","meanPTS","meanPTSGroupBC","inverseSimpsonIndex","inverseSimpsonIndexBC","instance"
0.395,4.4515908800815,0.0510072452976139,0.0342371629129972,3101.81340558612,3949.46696258732,95
0.157,1.47247582376123,0.0220127137980601,0.0172816161015225,2255.00389273645,2206.42699448068,96
0.2755,1.72039940663798,0.0276813433069719,0.0216943059950116,2230.13105862035,2238.55863790798,97
0.4555,11.1353558017815,0.0703008682376779,0.0548095890271144,5794.76791632223,6272.75063693237,98
0.2915,4.92239399664775,0.0266746831333239,0.0112050868557493,6539.11249340731,11895.4265705412,99
0.14,2.56030783546859,0.143757952594009,0.12850894743493,642.460685001338,591.630072641696,100
0.373,5.6806339536234,0.03017515187368,0.0269943341251782,7061.02713580989,6340.09698397499,101
0.308,4.26016623287927,0.123344794175573,0.0862011371967586,1006.04344966238,1490.41495478657,102
0.405,3.08027200095021,0.0179272620204219,0.00806962845717261,6204.71505885593,10244.1466187444,103
0.35,3.73255261114188,0.0660203180967649,0.0538923922599032,2053.9361373884,2086.12115830105,104
0.4325,4.65032725044688,0.0146695063542382,0.0130363016569163,11547.9620887991,10299.6648339551,105
0.363,4.73950984367551,0.0183727116230132,0.0144557771377057,9351.45064390672,9376.40036897634,106
0.3925,6.80961066298557,0.0361258995228803,0.0329490143186977,7129.90223238808,6271.33450907971,107
0.24,2.98418917231401,0.0456819098909098,0.0337794604932509,2324.15059356701,2499.4863017859,108
0.2295,4.66123731786227,0.0793030306677279,0.0626160024533028,2036.30185267428,2190.69017618133,109
0.3135,4.53611041066537,0.0139737360446352,0.0113524004328302,11604.652863194,11244.0645771451,110
0.1605,3.44008264498355,0.0312131322095093,0.0256578408928886,3914.69717269835,3779.02927723275,111
0.225,4.82664154107521,0.0745260076217513,0.0518482235518534,2211.0274287904,2713.64879545096,112
0.299,4.1835789443655,0.0568696143555868,0.0436647251541222,2623.94263536192,2895.49656688996,113
0.3255,5.88218394506572,0.0509500328761763,0.0476252044784331,4336.44204836168,3760.47880207769,114
0.25,4.45231107864491,0.0685536775952315,0.0571291418354415,2308.55894764551,2276.74865627266,115
0.365,4.57312056592931,0.0101015676149591,0.00773832450835052,15623.8647485946,15612.4260942519,116
0.279,5.33875935125693,0.0381334638710909,0.0341322946152089,5182.43356308921,4647.72131225695,117
0.459,5.64551003243468,0.0129588092982957,0.00660689849706556,15838.6336351429,23147.252759512,118
0.297,3.80326502640375,0.0341728572953516,0.0325618886205438,4138.72973545449,3467.38181167506,119
0.455,4.81250663358128,0.0153783892254645,0.0137364843551544,11459.1151777178,10169.326120253,120
0.3835,3.75613545379513,0.0155797029620805,0.0115748299902974,8633.99731556067,9091.01269039089,121
0.4535,9.05031396190007,0.0153821097564002,0.0112347055532942,21751.0336750786,23304.4817231396,122
0.1975,3.33301889107043,0.0360664346690939,0.0215122343843775,3276.76269694366,4369.06474366389,123
0.3935,5.51549911783374,0.016123989260234,0.0133511728610196,12537.8907136788,11984.8600412345,124
0.36,2.9636567448154,0.00902881971128697,0.0078015316938398,10957.118007089,9923.59311996052,125
