"instance","prevalence","meanMOIvar","meanPTS","meanPTSGroupBC","inverseSimpsonIndex","inverseSimpsonIndexBC"
6828,0.3415,2.83270198195021,0.0271568399716533,0.00939764038956692,3716.11243051394,8153.89899155515
6829,0.3055,1.98765584599733,0.0135496277309685,0.0113110188161042,5042.23236059543,4709.92547992763
6830,0.305,2.95739204088629,0.0737206498029218,0.060970761716995,1496.08699015327,1465.19845080157
6831,0.2295,3.23522933880104,0.0158055345317283,0.00948552032448492,6974.1000464195,8566.80395736551
6832,0.151,3.8143526164013,0.0213623580703644,0.00869851389606493,6000.44418100688,9899.0464974784
6833,0.0785,2.88753832138665,0.15064121722159,0.136554628824911,667.524118492596,598.595657275772
6834,0.403,4.52310368263626,0.0121980833736919,0.00727285356093627,13273.2739827055,16621.1147617656
6835,0.236,2.1954249255461,0.0120432121289183,0.00872555147404439,5981.19326404052,6221.3336215134
6836,0.3825,4.24726908805778,0.0122344419385719,0.0104759578817685,12323.0918296207,11260.20994241
6837,0.3275,3.44304534070826,0.00697995519672575,0.00608802992830565,15894.9499925823,14097.2471764488
6838,0.2645,1.72630008679664,0.00568405732494183,0.00386252123930254,8776.18037416644,9132.58851748514
6839,0.342,2.51435320292101,0.011631153411987,0.00787498561903027,7459.81750924058,8297.49597652013
6840,0.156,4.10502259325937,0.0170813798863048,0.0138393741192249,7962.52345497506,7542.22567952816
6841,0.3135,3.71423266747677,0.0115454228921664,0.00420219771378727,10954.8729531618,19990.5847418854
6842,0.3445,4.93724121761503,0.00773862969692192,0.00528233566801944,21310.215852632,23188.3770007265
6843,0.1785,5.80200863776517,0.0252108054590912,0.0221262051429029,8122.10003087992,7277.50599431397
6844,0.306,2.41008143298037,0.0147587153716488,0.00562062223213494,5663.45134348886,10236.1246954109
6845,0.4075,5.7592358988717,0.0165794059018741,0.0137378550318119,12820.1785441696,12239.2122257913
6846,0.3475,4.18544974364451,0.00688494702523184,0.00464113290579425,19671.5761117298,21414.6301517172
6847,0.269,2.45067918540076,0.00417435250957797,0.00321227615348702,15631.7150850677,14827.5533256262
6848,0.135,2.70832529750601,0.0719758955298548,0.0314559208358813,1212.49410351756,2404.92813773284
6849,0.4545,5.13520712068047,0.00923433367161952,0.00611623687095775,19597.2740509243,22429.6052986838
6850,0.189,2.57091903499231,0.029090583940755,0.0169768668316118,3053.09819829232,4027.62011419224
6851,0.1565,3.65837541469932,0.0422808476010057,0.0382812217587245,3130.76767200407,2760.70198180571
6852,0.271,2.5342442927863,0.00699849562401961,0.00596470639676776,10922.5803081653,9844.70998638119
6853,0.2745,3.62877722513693,0.00460824183379039,0.00382465186735509,22122.88736489,19922.7226912615
6854,0.1965,3.4775703683033,0.0102632574549269,0.00831083144048128,10596.9710256402,10006.4811526762
6855,0.109,2.65803094888226,0.0459898555337877,0.0330235706121936,1951.64173913601,2137.59092888764
6856,0.319,3.39275980678862,0.0494718553053876,0.0401033170071723,2553.2853275201,2521.35639928806
6857,0.1915,2.81037170581096,0.0145899841226936,0.00937637975312822,6328.93812666541,7270.08850143974
6858,0.1685,3.67460101889053,0.0432881161602384,0.0415765334184772,3070.62939436835,2542.1229204133
6859,0.213,4.10648694207008,0.00723577918076253,0.00557109173430944,16729.2061520687,16033.5411585089
