"prevalence","meanMOIvar","meanPTS","inverseSimpsonIndex","instance"
0.3725,2.72071148946733,0.00794736103377373,11381.8212656689,176
0.4545,7.98518140881931,0.0270464533121594,11178.0059121175,177
0.316,4.28832702008548,0.012433134931214,11921.4513934848,178
0.3735,3.25755304335378,0.0103852155802278,10726.7743983881,179
0.3165,3.42676550302024,0.0837042877122096,1494.07992150506,180
0.4425,8.31625210178889,0.0479463598558649,6115.28365344666,181
0.3035,4.21202449700562,0.0356131513973073,4388.47412834973,182
0.4585,5.70471144111769,0.0185032879279449,11491.152710076,183
0.454,10.2658837832146,0.0418527853440303,9358.733724676,184
0.1785,3.28484987074488,0.0595296627533334,1995.91197819093,185
0.286,2.85570973054629,0.108373785668473,958.366882908288,186
0.2915,1.92747568278885,0.023850721533371,2900.87553816679,187
0.4145,6.74941135029563,0.0174741896204806,14219.6950980773,188
0.3275,6.44721638135605,0.0378083386331093,6437.75676751201,189
0.2695,4.55252523956848,0.0159355378238113,9998.88262208112,190
0.3085,3.09600738846745,0.0100923936480745,10231.2131927124,191
0.307,3.02886354002446,0.0883658833905927,1246.34293858267,192
0.4405,5.25434497721085,0.00986505370585665,18883.4931297812,193
0.3895,5.25178511585035,0.0522794998028357,3779.11086191134,194
0.3405,5.68067498411179,0.0455790572604994,4667.45566590713,195
0.277,1.68678473688253,0.00922922509500831,5838.61768688061,196
0.4225,5.1315322806267,0.0122111393294271,15226.0085540793,197
0.4165,5.19611737061894,0.0338103347746442,5787.42202728209,198
0.4135,4.81624144466599,0.00891663691756432,18739.677502052,199
0.4435,5.96364100592766,0.0321982901101849,6993.74648593027,200
0.3995,3.9408818007301,0.0149406924588193,9502.35141973626,201
0.36,3.83515751149102,0.0135679857243253,9999.45389039639,202
0.4005,4.95773792980873,0.0636674552945247,2935.38368963019,203
0.149,3.95616116469415,0.031991744942269,4404.35688065401,204
0.2955,1.88036893289216,0.0101322703857177,6005.59042701047,205
0.306,3.47897117789753,0.0569483997359056,2237.03361273029,206
0.3655,5.35796371329155,0.0239183006240723,8369.94593641995,207
0.4675,8.96166171302789,0.115821369867245,2088.04614488893,208
0.2735,4.20446839345012,0.0378865654336536,4092.93996915094,209
0.296,3.96928416056043,0.0373129782789629,3905.51648374224,210
0.366,4.52413545878772,0.0588933665439418,2839.1094855277,211
0.2075,4.5518504217175,0.0814713482240124,2091.97042281941,212
0.376,5.0034924116737,0.00755347914694294,21970.8128759842,213
0.476,8.41147531997323,0.0209333742215728,15004.8234528724,214
0.3625,4.09169376076627,0.0386929995858327,3944.25924242464,215
0.421,6.07561428688603,0.0597078321585198,3633.34373280502,216
0.4215,9.18689575358432,0.0306261868990097,11420.7995361831,217
0.4065,4.31165280745547,0.0180854536560296,8776.00024381667,218
0.4,3.41471804208654,0.0158800489909909,7578.38515630224,219
0.419,4.6197790431548,0.0124435723045488,13374.5515405804,220
0.31,6.60286183760214,0.0352042108495033,7022.35739560233,221
0.2975,3.92679863529546,0.0975541173199796,1453.36230446747,222
0.279,5.13002299749558,0.0397436644512443,4712.46469381159,223
0.427,8.22085783792724,0.0319556960018314,9780.38218757825,224
0.209,4.40493323138126,0.0776757615874822,2093.40057693264,225
0.3115,3.96050112881681,0.084898260421241,1700.06153215961,226
0.197,3.31355949579731,0.0924094824400263,1257.04640409657,227
0.365,3.09808802061566,0.0477751333554253,2412.219482534,228
0.1865,2.54959917316716,0.037471670981894,2533.05368744794,229
0.315,2.70045042002074,0.0501216297017878,1988.30872129711,230
0.4305,7.65473536701331,0.0263581549346577,11026.117565318,231
0.203,3.6732393206221,0.0322350742266387,4098.2503885777,232
0.4075,6.25860681800697,0.0440569733370335,5323.04031038032,233
0.4525,3.92485446334711,0.00941258399978957,14603.9303138506,234
0.4525,12.8227309720821,0.0821792922186464,5635.01527145348,235
0.263,4.86759506128244,0.0198150694597942,8745.06639732763,236
0.2575,3.15540712927453,0.0268609434761284,4246.11073908214,237
0.43,5.50994330785085,0.0199198772922798,10024.0211586305,238
0.2925,2.80929564478639,0.0638244543140768,1632.72308517247,239
0.1455,2.56690325198604,0.136009573353838,654.484339305916,240
0.456,7.63440303748065,0.0217114455251691,13248.4040165054,241
0.297,5.45619622146963,0.0344671922331645,5924.6101817574,242
0.4155,3.81641230066395,0.00795056716849336,16229.2866384715,243
0.336,3.71792517964459,0.0256561210394006,5383.3069650693,244
0.4245,6.33397888678837,0.0486236562744996,4881.24393328662,245
0.295,3.94345097282464,0.0206778306090871,6906.8240762384,246
0.3545,2.44905159931042,0.0098477338918335,8414.22391182897,247
0.2635,4.52134498281454,0.0546852358347619,3126.02528784719,248
0.3,3.41659646516938,0.139276984410989,773.822239450772,249
0.4295,7.1186432910812,0.0744804549590305,3485.09540703037,250
0.4395,5.94548717607407,0.0377790373560095,5943.20842816001,251
0.2245,4.60354821945893,0.0258010741900744,6479.56523762949,252
0.4615,9.83947717636516,0.0471430920966856,7955.8523619092,253
0.444,5.83707868242072,0.106530579658376,1838.76446861688,254
0.189,2.92860071006389,0.0740509606001639,1424.61400857463,255
0.306,4.94351643829802,0.0294261701646785,6179.5640624161,256
0.4495,6.80795691400178,0.05414090818284,4776.81902754061,257
0.1955,4.14377569213748,0.0451175493232675,3363.6634844149,258
0.1715,2.53164914239321,0.0841850399417311,1072.7068550877,259
0.26,2.1620153080333,0.028001606663601,2766.13844059225,260
0.3095,3.62763880581343,0.0117575175500389,10457.7257299352,261
0.2185,1.79158612715189,0.0166489393241994,3608.6009395714,262
0.34,5.26173974235713,0.0539863613220261,3518.0036590697,263
0.424,3.22738547937987,0.0123962787466757,9348.48456302423,264
0.415,3.498854500597,0.0100229627585089,12073.843854078,265
0.4025,6.11567710832863,0.0275831772595956,8183.07947676581,266
0.423,3.50981585308784,0.0241886727758593,5261.3862913843,267
0.266,4.7770227088883,0.0423813694824314,4202.56339038891,268
0.3,4.08492599823214,0.0645584141370572,2307.87332985724,269
0.3115,4.65319531900935,0.0262788704356953,6601.93835114281,270
0.349,5.14531300614269,0.012499863887494,14514.9516760777,271
0.3195,3.92689264182778,0.0466133281945872,3025.99907971778,272
0.2055,3.22916330775309,0.0599660971096572,1955.6986081757,273
0.4635,13.7929351989104,0.0441888427554379,12027.3468337776,274
0.338,2.35471664794008,0.00802170916220393,9497.33397651855,275
0.4445,4.50255437798825,0.0119059917637424,13650.519269315,276
0.195,4.075195355186,0.0970464464527631,1461.50393264696,277
0.2965,3.08965283030313,0.0311835826319343,3514.25854384126,278
0.412,6.4654989088682,0.0486572315315454,4996.69915636892,279
0.4395,10.5697315369141,0.0458304109230681,8685.28798043205,280
0.401,2.88348306260092,0.0109658545200093,9191.27215310719,281
0.322,3.79369623331241,0.0281439688799129,4961.56244104548,282
0.43,6.08841191009592,0.0118002216539188,18650.328866187,283
0.1775,3.56443916494791,0.0630804300692331,2009.22346304405,284
0.3785,5.58683402391195,0.011062896531064,17745.2872354575,285
0.409,3.39962562269065,0.058962891520632,2127.87892116174,286
0.451,13.4800946284985,0.0508979638865826,10093.5478205613,287
0.4595,7.28077245612197,0.0377919157381982,6699.84819900422,288
0.178,3.74828184443194,0.0643690003111655,2121.26432757159,289
0.4065,3.34225456714926,0.0105145313265939,11252.7617848891,290
0.4675,9.63588259874185,0.0868762404249586,3542.11202671858,291
0.395,4.88632348930476,0.0209967586749817,8512.78566857252,292
0.1855,4.06604367578719,0.090562725826638,1628.23823194351,293
0.4575,10.4940551209001,0.0222537199214965,17840.2790874701,294
0.296,2.14858378573674,0.0189021992452447,3995.45465646271,295
0.411,2.96208082247119,0.00586068600204471,16257.2158170529,296
0.406,6.53354569362497,0.0646989089893006,3729.02958752123,297
0.231,4.45525603323185,0.0375252848609244,4350.10296760955,298
0.4515,6.70926177772593,0.0292595968431913,8681.73907264774,299
0.3785,5.55548765220134,0.0327031161656631,6452.10902063269,300
0.373,4.22176890578169,0.00920351409294397,15664.3792618608,301
0.3745,2.40941620758846,0.0134054003547808,6278.49825515389,302
0.321,2.0471960778704,0.0148623292277333,4804.10247049752,303
0.209,3.58422818206982,0.0687759942793349,1841.42955914093,304
